D_id,G_id,label
MESH:D001506,3481,1
MESH:D001506,3784,1
MESH:C566624,5195,1
MESH:C565249,78987,1
MESH:D057180,4137,1
MESH:D057180,5663,1
MESH:C531617,1639,1
MESH:C531617,4744,1
MESH:C531617,5630,1
MESH:C531617,6647,1
MESH:C565360,10747,1
MESH:D002292,11236,1
MESH:D002292,201163,1
MESH:D002292,4968,1
MESH:D002292,55193,1
MESH:D002292,6927,1
MESH:D002292,6928,1
MESH:D002292,7428,1
MESH:D001943,11200,1
MESH:D001943,207,1
MESH:D001943,2099,1
MESH:D001943,3161,1
MESH:D001943,3845,1
MESH:D001943,472,1
MESH:D001943,4835,1
MESH:D001943,5002,1
MESH:D001943,5245,1
MESH:D001943,5290,1
MESH:D001943,5728,1
MESH:D001943,580,1
MESH:D001943,5888,1
MESH:D001943,5889,1
MESH:D001943,5892,1
MESH:D001943,672,1
MESH:D001943,675,1
MESH:D001943,6794,1
MESH:D001943,7157,1
MESH:D001943,7517,1
MESH:D001943,79728,1
MESH:D001943,83990,1
MESH:D001943,841,1
MESH:D001943,8438,1
MESH:D001943,8493,1
MESH:D001943,9821,1
MESH:D001943,999,1
MESH:C537067,2475,1
MESH:C537067,7248,1
MESH:C537067,7249,1
MESH:D002583,2261,1
MESH:D005359,2778,1
MESH:D003456,3640,1
MESH:C536554,10908,1
MESH:C535475,29914,1
MESH:C536409,4522,1
MESH:C536409,4524,1
MESH:C536409,4548,1
MESH:C536409,4552,1
MESH:D011471,11200,1
MESH:D011471,1316,1
MESH:D011471,367,1
MESH:D011471,4601,1
MESH:D011471,463,1
MESH:D011471,5728,1
MESH:D011471,675,1
MESH:D011471,8379,1
MESH:D011471,999,1
MESH:D016135,57216,1
MESH:D016135,6347,1
MESH:D016135,6862,1
MESH:D016135,80199,1
MESH:D016135,81839,1
MESH:D020246,2147,1
MESH:D020246,2153,1
MESH:D020246,2162,1
MESH:D020246,3026,1
MESH:D020246,4524,1
MESH:D020246,462,1
MESH:D020246,5624,1
MESH:D020246,5627,1
MESH:D012559,10137,1
MESH:D012559,1116,1
MESH:D012559,1312,1
MESH:D012559,1814,1
MESH:D012559,23780,1
MESH:D012559,267012,1
MESH:D012559,27185,1
MESH:D012559,3084,1
MESH:D012559,3356,1
MESH:D012559,4524,1
MESH:D012559,5625,1
MESH:D012559,6505,1
MESH:D012559,65078,1
MESH:D012559,6854,1
MESH:D012559,80832,1
MESH:D012559,85358,1
MESH:D012559,9378,1
MESH:D046152,3815,1
MESH:D046152,6390,1
MESH:D046152,6391,1
MESH:C565512,4524,1
MESH:D006712,875,1
MESH:D013274,1316,1
MESH:D013274,2064,1
MESH:D013274,2263,1
MESH:D013274,324,1
MESH:D013274,3553,1
MESH:D013274,3557,1
MESH:D013274,3659,1
MESH:D013274,3845,1
MESH:D013274,4595,1
MESH:D013274,5290,1
MESH:D013274,843,1
MESH:C563984,2702,1
MESH:D015417,1959,1
MESH:D015417,4359,1
MESH:D015417,5376,1
MESH:D015417,57716,1
MESH:C537985,1959,1
MESH:C537991,11284,1
MESH:C537991,81857,1
MESH:C536735,6608,1
MESH:C537563,427,1
MESH:C536647,4593,1
MESH:C537262,1080,1
MESH:C537262,11330,1
MESH:C537262,5644,1
MESH:C537262,5645,1
MESH:C537262,6690,1
MESH:D052496,4000,1
MESH:D052496,5468,1
MESH:C537653,1188,1
MESH:C565785,9681,1
MESH:C564578,1188,1
MESH:C537923,2316,1
MESH:C537923,8573,1
MESH:C537923,9968,1
MESH:C537177,23400,1
MESH:C567858,9179,1
MESH:D006223,5728,1
MESH:C565375,6389,1
MESH:D001172,26191,1
MESH:D001172,3586,1
MESH:D001172,4261,1
MESH:D001172,4795,1
MESH:D001172,51744,1
MESH:D001172,6583,1
MESH:C536939,51702,1
MESH:D016649,2332,1
MESH:C567261,1272,1
MESH:D018232,2308,1
MESH:D018232,5077,1
MESH:D018232,5081,1
MESH:D009765,155,1
MESH:D009765,181,1
MESH:D009765,5167,1
MESH:D009765,51738,1
MESH:D009765,5443,1
MESH:D009765,5468,1
MESH:D009765,7352,1
MESH:D009765,8431,1
MESH:D009765,9607,1
MESH:D009765,9672,1
MESH:D015179,10395,1
MESH:D015179,11200,1
MESH:D015179,1499,1
MESH:D015179,1630,1
MESH:D015179,201163,1
MESH:D015179,2033,1
MESH:D015179,207,1
MESH:D015179,2261,1
MESH:D015179,25788,1
MESH:D015179,27030,1
MESH:D015179,324,1
MESH:D015179,4163,1
MESH:D015179,4893,1
MESH:D015179,5157,1
MESH:D015179,5290,1
MESH:D015179,5320,1
MESH:D015179,5782,1
MESH:D015179,5795,1
MESH:D015179,581,1
MESH:D015179,595,1
MESH:D015179,6714,1
MESH:D015179,673,1
MESH:D015179,6790,1
MESH:D015179,699,1
MESH:D015179,701,1
MESH:D015179,7097,1
MESH:D015179,7157,1
MESH:D015179,8313,1
MESH:C565564,5322,1
MESH:C565309,114902,1
MESH:D010282,79577,1
MESH:C563939,1889,1
MESH:C562793,142680,1
MESH:C562646,249,1
MESH:C535858,3930,1
MESH:C564146,249,1
MESH:C557819,83479,1
MESH:C538189,7476,1
MESH:C538154,2697,1
MESH:C536254,11212,1
MESH:C536254,501,1
MESH:C567107,249,1
MESH:D020967,6329,1
MESH:D010009,2316,1
MESH:D010009,3339,1
MESH:D010009,6399,1
MESH:C537998,3339,1
MESH:C567186,54361,1
MESH:D050033,7849,1
MESH:C536458,2811,1
MESH:C567254,6135,1
MESH:D005693,2582,1
MESH:D005693,2584,1
MESH:D005693,2592,1
MESH:C538324,3155,1
MESH:D002819,7080,1
MESH:D005645,2517,1
MESH:C536529,57822,1
MESH:C536528,3664,1
MESH:D016511,5896,1
MESH:D016511,5897,1
MESH:D016511,64421,1
MESH:C564833,6005,1
MESH:D006938,10842,1
MESH:D006938,2053,1
MESH:D006938,2690,1
MESH:D006938,336,1
MESH:D006938,338,1
MESH:D006938,3949,1
MESH:D058494,10585,1
MESH:D058494,2218,1
MESH:D058494,29954,1
MESH:D058494,79147,1
MESH:D058494,9215,1
MESH:D020914,1785,1
MESH:D020914,4534,1
MESH:D020914,64419,1
MESH:D020914,6786,1
MESH:D020914,7170,1
MESH:C537398,341208,1
MESH:C566706,6010,1
MESH:D001254,2064,1
MESH:D001254,3417,1
MESH:D001254,7157,1
MESH:D008527,1499,1
MESH:D008527,23432,1
MESH:D008527,51684,1
MESH:D008527,675,1
MESH:D008527,8518,1
MESH:D008527,8643,1
MESH:C536436,57492,1
MESH:C537724,9968,1
MESH:D018197,1499,1
MESH:D018197,324,1
MESH:D018197,3482,1
MESH:D018197,4233,1
MESH:D018197,5157,1
MESH:D018197,5290,1
MESH:D018197,7157,1
MESH:D018197,8312,1
MESH:D018197,841,1
MESH:D010520,1075,1
MESH:C536736,4487,1
MESH:C567520,2035,1
MESH:C567314,10382,1
MESH:C564257,8565,1
MESH:C538006,3208,1
MESH:C538361,204,1
MESH:C567214,2707,1
MESH:C567134,10804,1
MESH:C567134,2706,1
MESH:C567134,2707,1
MESH:C566136,5376,1
MESH:C537845,4512,1
MESH:C536648,2299,1
MESH:C536648,3766,1
MESH:C536648,5172,1
MESH:C562745,58495,1
MESH:D058497,80144,1
MESH:C537592,10456,1
MESH:D015470,1050,1
MESH:D015470,1788,1
MESH:D015470,2120,1
MESH:D015470,2322,1
MESH:D015470,2624,1
MESH:D015470,26511,1
MESH:D015470,3717,1
MESH:D015470,3815,1
MESH:D015470,3845,1
MESH:D015470,4026,1
MESH:D015470,4869,1
MESH:D015470,6455,1
MESH:D015470,7015,1
MESH:D015470,8021,1
MESH:D015470,8028,1
MESH:D015470,8301,1
MESH:D015470,861,1
MESH:C567165,284654,1
MESH:C564487,4952,1
MESH:C535687,157570,1
MESH:C566468,51021,1
MESH:C536665,268,1
MESH:C536665,269,1
MESH:D009472,1200,1
MESH:D009472,1201,1
MESH:D009472,5538,1
MESH:D009472,80331,1
MESH:C536920,10269,1
MESH:C535706,10269,1
MESH:C535502,1298,1
MESH:C566612,1302,1
MESH:C535776,1302,1
MESH:C565423,149461,1
MESH:C537153,10686,1
MESH:D007669,10861,1
MESH:D010013,1277,1
MESH:C563401,6513,1
MESH:C536830,6513,1
MESH:D008881,1909,1
MESH:D008881,2099,1
MESH:D008881,7124,1
MESH:C563840,6513,1
MESH:C535982,4352,1
MESH:C536300,170302,1
MESH:C566702,2255,1
MESH:C567019,6487,1
MESH:D020158,2731,1
MESH:D020158,275,1
MESH:D001478,5727,1
MESH:D017119,7389,1
MESH:D017121,7389,1
MESH:D011125,324,1
MESH:D003110,10395,1
MESH:D003110,11200,1
MESH:D003110,1499,1
MESH:D003110,1630,1
MESH:D003110,201163,1
MESH:D003110,2033,1
MESH:D003110,207,1
MESH:D003110,2261,1
MESH:D003110,25788,1
MESH:D003110,27030,1
MESH:D003110,324,1
MESH:D003110,4163,1
MESH:D003110,4893,1
MESH:D003110,5157,1
MESH:D003110,5290,1
MESH:D003110,5320,1
MESH:D003110,5782,1
MESH:D003110,5795,1
MESH:D003110,581,1
MESH:D003110,595,1
MESH:D003110,6714,1
MESH:D003110,673,1
MESH:D003110,6790,1
MESH:D003110,699,1
MESH:D003110,701,1
MESH:D003110,7097,1
MESH:D003110,7157,1
MESH:D003110,8313,1
MESH:D018296,1499,1
MESH:D012175,5925,1
MESH:D002051,4609,1
MESH:C563924,4595,1
MESH:D016889,27030,1
MESH:D016889,2956,1
MESH:D016889,4437,1
MESH:D016889,999,1
MESH:D052556,4864,1
MESH:C537359,25974,1
MESH:C537359,5052,1
MESH:C535899,8291,1
MESH:C537384,3908,1
MESH:D008228,25788,1
MESH:D008228,5551,1
MESH:D008228,843,1
MESH:D008228,8438,1
MESH:D008228,8915,1
MESH:C537786,2301,1
MESH:C567835,2301,1
MESH:C537784,4629,1
MESH:D009101,3981,1
MESH:D009101,595,1
MESH:C538012,4998,1
MESH:D007966,410,1
MESH:C563462,1376,1
MESH:C563461,1376,1
MESH:C563463,1376,1
MESH:D004831,57465,1
MESH:D004831,6323,1
MESH:C566555,1718,1
MESH:C566530,7809,1
MESH:C567544,7809,1
MESH:C567307,729,1
MESH:C535480,4070,1
MESH:C565732,27329,1
MESH:C535741,29929,1
MESH:D011087,3717,1
MESH:C535351,478,1
MESH:C538104,25793,1
MESH:D007006,10011,1
MESH:D007006,1848,1
MESH:D007006,2796,1
MESH:D007006,2798,1
MESH:D007006,285025,1
MESH:D007006,389549,1
MESH:D007006,55717,1
MESH:D007006,558,1
MESH:D007006,81848,1
MESH:D007006,8822,1
MESH:D007006,9723,1
MESH:C536637,23169,1
MESH:C536601,6121,1
MESH:C566718,6121,1
MESH:D009755,60506,1
MESH:C535668,9095,1
MESH:C536038,34,1
MESH:D024741,4624,1
MESH:D024741,4625,1
MESH:D024741,85366,1
MESH:D024741,859,1
MESH:C563808,5318,1
MESH:C562903,6795,1
MESH:C536827,11146,1
MESH:C567748,2672,1
MESH:C564320,2672,1
MESH:D000741,3458,1
MESH:D000741,4683,1
MESH:D000741,51119,1
MESH:D000741,5551,1
MESH:D000741,7015,1
MESH:D008268,25794,1
MESH:C565778,23746,1
MESH:C564915,10312,1
MESH:C566637,24,1
MESH:C565718,5654,1
MESH:C536122,2916,1
MESH:C536122,57010,1
MESH:C536122,60506,1
MESH:C536122,778,1
MESH:C565741,24,1
MESH:C566604,182,1
MESH:D057826,5961,1
MESH:D057826,7439,1
MESH:C535440,285440,1
MESH:C565733,493856,1
MESH:C535444,23600,1
MESH:D054067,1806,1
MESH:D054067,1807,1
MESH:D006010,178,1
MESH:C566890,178,1
MESH:C566889,178,1
MESH:C566891,178,1
MESH:C537157,6905,1
MESH:D008375,1629,1
MESH:D008375,593,1
MESH:D008375,594,1
MESH:C535712,1629,1
MESH:C535712,593,1
MESH:C535712,594,1
MESH:C563884,8556,1
MESH:C536293,56623,1
MESH:C537493,1301,1
MESH:C536025,1301,1
MESH:C536168,2706,1
MESH:C562829,91851,1
MESH:C537404,2688,1
MESH:C567043,2072,1
MESH:C535459,29899,1
MESH:C565647,1749,1
MESH:C563689,23155,1
MESH:C567017,2898,1
MESH:D002538,3569,1
MESH:D002538,3845,1
MESH:D009958,8481,1
MESH:C538270,2773,1
MESH:C564206,2780,1
MESH:C536128,1261,1
MESH:C567554,79574,1
MESH:C565449,6566,1
MESH:C537047,6567,1
MESH:C565121,1729,1
MESH:C536480,60495,1
MESH:D050031,1493,1
MESH:D008180,11277,1
MESH:D008180,1380,1
MESH:D008180,1493,1
MESH:D008180,1773,1
MESH:D008180,2212,1
MESH:D008180,2213,1
MESH:D008180,26191,1
MESH:D008180,3663,1
MESH:D008180,5133,1
MESH:D008180,6775,1
MESH:D008180,7100,1
MESH:C536068,1736,1
MESH:C548084,4893,1
MESH:D009634,5604,1
MESH:D009634,5781,1
MESH:D009634,673,1
MESH:D006528,1499,1
MESH:D006528,324,1
MESH:D006528,3482,1
MESH:D006528,4233,1
MESH:D006528,5157,1
MESH:D006528,5290,1
MESH:D006528,7157,1
MESH:D006528,8312,1
MESH:D006528,841,1
MESH:D002289,1326,1
MESH:D002289,1548,1
MESH:D002289,1956,1
MESH:D002289,2064,1
MESH:D002289,2074,1
MESH:D002289,356,1
MESH:D002289,3659,1
MESH:D002289,3845,1
MESH:D002289,5002,1
MESH:D002289,5071,1
MESH:D002289,5290,1
MESH:D002289,5519,1
MESH:D002289,673,1
MESH:D002289,841,1
MESH:C580062,2261,1
MESH:C580062,3265,1
MESH:C580062,4893,1
MESH:C580062,5290,1
MESH:C537387,4893,1
MESH:D054000,3265,1
MESH:D054000,3845,1
MESH:D054000,4893,1
MESH:D054429,23092,1
MESH:D054429,4763,1
MESH:D054429,5781,1
MESH:D054429,867,1
MESH:D009477,10558,1
MESH:D009477,4803,1
MESH:D009477,4914,1
MESH:C537221,81839,1
MESH:C536334,2771,1
MESH:C536334,845,1
MESH:C557674,3766,1
MESH:D014256,114798,1
MESH:D007767,3321,1
MESH:C566857,1200,1
MESH:C567784,3158,1
MESH:D031845,4853,1
MESH:D016738,182,1
MESH:D016738,4853,1
MESH:C537247,148738,1
MESH:D006432,3077,1
MESH:D006432,650,1
MESH:C536940,9939,1
MESH:C567291,2702,1
MESH:C567291,2703,1
MESH:C566158,2703,1
MESH:C538184,10262,1
MESH:C563320,9129,1
MESH:D008065,1893,1
MESH:C563268,54507,1
MESH:D058631,1513,1
MESH:C565910,4261,1
MESH:C565910,5993,1
MESH:C565910,5994,1
MESH:C565910,8625,1
MESH:D046349,1371,1
MESH:C565035,2073,1
MESH:D058496,10743,1
MESH:C535955,5339,1
MESH:D016112,2312,1
MESH:C535959,3852,1
MESH:C565293,2312,1
MESH:C564818,1041,1
MESH:C538348,7170,1
MESH:D007589,6774,1
MESH:D007589,81704,1
MESH:C565334,1141,1
MESH:C535729,103,1
MESH:C535607,100506658,1
MESH:C535607,11277,1
MESH:C535607,79621,1
MESH:D004476,10804,1
MESH:D004476,9790,1
MESH:D007645,57152,1
MESH:C536725,3756,1
MESH:D017499,10654,1
MESH:D054069,2108,1
MESH:D054069,2109,1
MESH:D054069,2110,1
MESH:D020961,2629,1
MESH:D020961,6620,1
MESH:D020961,6622,1
MESH:D005776,2629,1
MESH:C564306,2629,1
MESH:D001072,93986,1
MESH:C564858,5313,1
MESH:C566310,5313,1
MESH:C565815,1409,1
MESH:C566529,55249,1
MESH:C535705,4000,1
MESH:C567708,4000,1
MESH:D011371,4000,1
MESH:C535703,4000,1
MESH:C537984,9516,1
MESH:C567557,6324,1
MESH:C567557,6331,1
MESH:C567661,4000,1
MESH:C567633,4000,1
MESH:C535852,4000,1
MESH:C536965,5376,1
MESH:C564433,5631,1
MESH:C565206,64218,1
MESH:C566236,7003,1
MESH:D018240,2261,1
MESH:D018240,3815,1
MESH:D018240,6794,1
MESH:D018240,8915,1
MESH:C536911,5979,1
MESH:D009081,4758,1
MESH:D009081,57192,1
MESH:D009081,79158,1
MESH:C537277,93183,1
MESH:D005198,2628,1
MESH:D005198,6514,1
MESH:C537246,477,1
MESH:C566540,477,1
MESH:C566444,50717,1
MESH:C566535,7391,1
MESH:D017118,3145,1
MESH:D029242,4508,1
MESH:D029242,4514,1
MESH:D029242,4519,1
MESH:D029242,4535,1
MESH:D029242,4536,1
MESH:D029242,4538,1
MESH:D029242,4539,1
MESH:D029242,4540,1
MESH:D029242,4541,1
MESH:C537475,4724,1
MESH:C563043,79813,1
MESH:D056768,8139,1
MESH:C535416,4359,1
MESH:C535301,1959,1
MESH:C565335,6390,1
MESH:C565335,6391,1
MESH:D013341,2776,1
MESH:C563321,4009,1
MESH:C536271,10999,1
MESH:C536188,999,1
MESH:C565712,919,1
MESH:D047748,9049,1
MESH:D047748,9101,1
MESH:C536510,10560,1
MESH:D006502,2153,1
MESH:D006502,3717,1
MESH:D020016,2153,1
MESH:D005166,2153,1
MESH:D002544,2147,1
MESH:D002544,2153,1
MESH:D002544,241,1
MESH:D002544,4846,1
MESH:D002544,5583,1
MESH:C536260,5328,1
MESH:C537799,92344,1
MESH:C537996,5396,1
MESH:C536561,2328,1
MESH:C564234,4653,1
MESH:C563692,134430,1
MESH:C565547,1545,1
MESH:D003117,2652,1
MESH:D003117,611,1
MESH:D008175,1326,1
MESH:D008175,1548,1
MESH:D008175,1956,1
MESH:D008175,2064,1
MESH:D008175,2074,1
MESH:D008175,356,1
MESH:D008175,3659,1
MESH:D008175,3845,1
MESH:D008175,5002,1
MESH:D008175,5071,1
MESH:D008175,5290,1
MESH:D008175,5519,1
MESH:D008175,673,1
MESH:D008175,841,1
MESH:D056735,355,1
MESH:D056735,356,1
MESH:D056735,841,1
MESH:C567009,55157,1
MESH:C563162,56172,1
MESH:D020152,462,1
MESH:C566021,3458,1
MESH:C566021,7249,1
MESH:C536404,7827,1
MESH:C564242,23534,1
MESH:C567492,89884,1
MESH:C562704,2688,1
MESH:C567803,5449,1
MESH:C536275,5155,1
MESH:C536275,5159,1
MESH:C536275,6575,1
MESH:C536832,2752,1
MESH:D016109,3909,1
MESH:D016109,3914,1
MESH:D016109,3918,1
MESH:D006105,1536,1
MESH:C565533,1535,1
MESH:C537560,10216,1
MESH:C564166,79577,1
MESH:C567688,2165,1
MESH:C566801,23418,1
MESH:C563999,23418,1
MESH:C538363,3000,1
MESH:C536133,54903,1
MESH:D008305,6261,1
MESH:C535694,6261,1
MESH:D016110,3852,1
MESH:D016110,3861,1
MESH:D056685,3265,1
MESH:D007418,72,1
MESH:D007418,79827,1
MESH:C563802,55215,1
MESH:D017436,2260,1
MESH:D017436,3730,1
MESH:C567098,10299,1
MESH:C563661,25778,1
MESH:D017074,29851,1
MESH:C564133,2206,1
MESH:C564133,3566,1
MESH:C564133,50615,1
MESH:C564133,7941,1
MESH:C562880,286077,1
MESH:C562509,3664,1
MESH:C566605,7341,1
MESH:C567516,3756,1
MESH:C565697,343035,1
MESH:C536343,28982,1
MESH:D012779,4750,1
MESH:D012779,79659,1
MESH:C565460,1063,1
MESH:C536490,7399,1
MESH:C536490,79955,1
MESH:D055947,7046,1
MESH:C535326,6910,1
MESH:C538005,1861,1
MESH:D007888,10128,1
MESH:D007888,1737,1
MESH:D007888,1738,1
MESH:D007888,5091,1
MESH:D007888,5160,1
MESH:D007888,5162,1
MESH:D007888,6329,1
MESH:D007888,8050,1
MESH:C536681,22930,1
MESH:D004310,137814,1
MESH:D004310,1482,1
MESH:D004310,2627,1
MESH:D004310,6899,1
MESH:D003550,1080,1
MESH:D003550,2212,1
MESH:D003550,7040,1
MESH:C536319,9255,1
MESH:C566856,5664,1
MESH:D000544,351,1
MESH:D000544,4353,1
MESH:D000544,4846,1
MESH:D000544,5328,1
MESH:C567436,56997,1
MESH:D054091,2316,1
MESH:C567707,57165,1
MESH:D020371,5354,1
MESH:C579880,58,1
MESH:D009224,1180,1
MESH:C535683,57190,1
MESH:C563529,58,1
MESH:C537548,84942,1
MESH:C537607,8443,1
MESH:D018902,5191,1
MESH:C565221,54583,1
MESH:C565784,9997,1
MESH:D002609,1130,1
MESH:D049310,4625,1
MESH:D049310,7072,1
MESH:D049310,7273,1
MESH:D013771,1482,1
MESH:D013771,182,1
MESH:D013771,23414,1
MESH:D013771,2626,1
MESH:D013771,2627,1
MESH:D013771,6899,1
MESH:C565394,4548,1
MESH:D013398,6331,1
MESH:C566254,7043,1
MESH:D011535,1131,1
MESH:C538191,2271,1
MESH:C535516,2271,1
MESH:C566381,5296,1
MESH:D030401,6834,1
MESH:C563650,114548,1
MESH:C567641,5293,1
MESH:C567641,90417,1
MESH:C564404,51185,1
MESH:D052517,285362,1
MESH:C563747,56652,1
MESH:D013132,64374,1
MESH:D029597,3784,1
MESH:C535686,859,1
MESH:C567515,144245,1
MESH:C567515,3757,1
MESH:C567515,859,1
MESH:C567365,57545,1
MESH:D006623,595,1
MESH:D006623,7428,1
MESH:C563918,7428,1
MESH:D009396,2239,1
MESH:D009396,2719,1
MESH:D009396,3481,1
MESH:D009396,675,1
MESH:D009396,7490,1
MESH:D003924,10644,1
MESH:D003924,169026,1
MESH:D003924,208,1
MESH:D003924,2645,1
MESH:D003924,2820,1
MESH:D003924,3159,1
MESH:D003924,3172,1
MESH:D003924,3569,1
MESH:D003924,3651,1
MESH:D003924,3667,1
MESH:D003924,3767,1
MESH:D003924,3990,1
MESH:D003924,4544,1
MESH:D003924,4760,1
MESH:D003924,5078,1
MESH:D003924,5167,1
MESH:D003924,5468,1
MESH:D003924,5506,1
MESH:D003924,56729,1
MESH:D003924,5770,1
MESH:D003924,6514,1
MESH:D003924,6833,1
MESH:D003924,6927,1
MESH:D003924,6928,1
MESH:D003924,6934,1
MESH:D003924,7466,1
MESH:D003924,8660,1
MESH:D003924,9479,1
MESH:C562710,3643,1
MESH:C563733,5468,1
MESH:C567325,80746,1
MESH:C548083,5894,1
MESH:C537117,5894,1
MESH:D044542,5781,1
MESH:C566954,7414,1
MESH:C537847,3845,1
MESH:C535612,7476,1
MESH:C565776,79188,1
MESH:C566415,8292,1
MESH:D028921,686,1
MESH:C567936,7068,1
MESH:D018382,7849,1
MESH:C564154,7068,1
MESH:C537465,54880,1
MESH:D002925,27019,1
MESH:D008382,2200,1
MESH:D003123,4436,1
MESH:D003123,5378,1
MESH:C535751,201595,1
MESH:C567087,23171,1
MESH:D016537,2720,1
MESH:C566895,2720,1
MESH:D055847,4292,1
MESH:C536928,2956,1
MESH:C536928,4292,1
MESH:C536928,4436,1
MESH:C536928,5395,1
MESH:D020388,1756,1
MESH:D010051,1499,1
MESH:D010051,2064,1
MESH:D010051,207,1
MESH:D010051,4978,1
MESH:D010051,5071,1
MESH:D010051,5290,1
MESH:D010051,999,1
MESH:C567379,4615,1
MESH:C567037,54795,1
MESH:C566244,9992,1
MESH:C563907,6331,1
MESH:C566185,6331,1
MESH:C566186,6331,1
MESH:D004916,6335,1
MESH:C563738,6598,1
MESH:C536382,4041,1
MESH:C536382,8322,1
MESH:C536560,51099,1
MESH:C537286,3295,1
MESH:C536101,80324,1
MESH:C567263,5961,1
MESH:C567263,6094,1
MESH:C537909,582,1
MESH:C537909,79140,1
MESH:C537909,84100,1
MESH:C535337,79443,1
MESH:C563418,259236,1
MESH:C537564,5745,1
MESH:C537914,5745,1
MESH:C564010,5745,1
MESH:C565114,5745,1
MESH:D055652,23218,1
MESH:C566007,11277,1
MESH:C535924,11277,1
MESH:C536887,392255,1
MESH:D016108,1294,1
MESH:D016108,4312,1
MESH:C567122,1294,1
MESH:C567122,4312,1
MESH:C535494,1294,1
MESH:C536979,1294,1
MESH:C535956,1294,1
MESH:C564384,1294,1
MESH:C567121,1294,1
MESH:C567121,4312,1
MESH:D017488,3848,1
MESH:C537185,3913,1
MESH:D006689,200942,1
MESH:C537533,545,1
MESH:C566475,2779,1
MESH:C566321,9049,1
MESH:C538246,95,1
MESH:C535767,132158,1
MESH:D012512,2130,1
MESH:C535746,79053,1
MESH:C537669,4976,1
MESH:C567632,8820,1
MESH:D025962,8820,1
MESH:C566466,8462,1
MESH:C536573,2317,1
MESH:C535396,2317,1
MESH:C579928,2317,1
MESH:C535780,2317,1
MESH:C535288,9401,1
MESH:C566729,5162,1
MESH:D020191,1822,1
MESH:D020191,950,1
MESH:C538225,57514,1
MESH:C538225,9790,1
MESH:C536919,4286,1
MESH:C536464,4286,1
MESH:C536463,6663,1
MESH:D014849,5077,1
MESH:C567155,4254,1
MESH:C567053,6092,1
MESH:D006011,2632,1
MESH:C564878,2632,1
MESH:C564888,51422,1
MESH:C565541,2632,1
MESH:C537911,84100,1
MESH:C562816,1371,1
MESH:C535717,10342,1
MESH:D006871,1545,1
MESH:C562695,79751,1
MESH:D011546,26249,1
MESH:D011546,4306,1
MESH:D011546,6337,1
MESH:D011546,65125,1
MESH:D011546,65266,1
MESH:D011546,8452,1
MESH:C562924,102,1
MESH:C562924,3852,1
MESH:D000474,3081,1
MESH:C563763,9657,1
MESH:C566460,286676,1
MESH:C537145,846,1
MESH:C563375,846,1
MESH:C565261,59341,1
MESH:C567085,59,1
MESH:D020521,2147,1
MESH:D020521,2153,1
MESH:D020521,241,1
MESH:D020521,4846,1
MESH:D020521,5583,1
MESH:D020176,2184,1
MESH:D020176,3242,1
MESH:D020176,6898,1
MESH:C567006,28976,1
MESH:D001606,2811,1
MESH:D001606,2812,1
MESH:D001606,2815,1
MESH:C565550,2811,1
MESH:C565550,2812,1
MESH:C565550,2815,1
MESH:C562966,55764,1
MESH:C562733,5959,1
MESH:C562733,5961,1
MESH:C562733,6010,1
